renderer,fixture,status,exit_code,sampled_peak_bytes,output,error,run
merman-text,pie.mmd,ok,0,13500416,render_ms=1.346 font_ms=0.638 raster_ms=2.505 pipeline_ms=4.578 svg_bytes=2533 width=590 height=450,,2
merman-text,sequence-realistic.mmd,ok,0,7471104,render_ms=1.848 font_ms=0.663 raster_ms=3.795 pipeline_ms=6.394 svg_bytes=25144 width=746 height=595,,2
merman-text,sequence.mmd,ok,0,12541952,render_ms=1.623 font_ms=0.679 raster_ms=1.470 pipeline_ms=3.868 svg_bytes=20997 width=450 height=259,,2
merman-text,state.mmd,ok,0,13008896,render_ms=3.665 font_ms=0.822 raster_ms=1.699 pipeline_ms=6.271 svg_bytes=77323 width=107 height=234,,2
merman-text,styled.mmd,ok,0,12484608,render_ms=2.068 font_ms=0.708 raster_ms=1.068 pipeline_ms=3.939 svg_bytes=9931 width=319 height=70,,2
merman-text,unicode.mmd,ok,0,54542336,render_ms=2.598 font_ms=9.271 raster_ms=1.616 pipeline_ms=13.570 svg_bytes=12087 width=882 height=70,,2
merman-text,workflow.mmd,ok,0,24072192,render_ms=5.422 font_ms=0.693 raster_ms=4.637 pipeline_ms=10.841 svg_bytes=28891 width=941 height=1379,,2
mmdr-text,chain-200.mmd,ok,0,29560832,render_ms=138.870 font_ms=0.902 raster_ms=20.631 pipeline_ms=160.494 svg_bytes=170521 width=119 height=15075,,3
mmdr-text,chain-2000.mmd,error,2,43597824,,ERROR: Diagram exceeds prototype's 16 megapixel limit,3
mmdr-text,class.mmd,ok,0,8732672,render_ms=13.702 font_ms=0.600 raster_ms=1.125 pipeline_ms=15.517 svg_bytes=3416 width=181 height=278,,3
mmdr-text,er.mmd,ok,0,10170368,render_ms=14.472 font_ms=0.625 raster_ms=1.352 pipeline_ms=16.540 svg_bytes=4378 width=201 height=255,,3
mmdr-text,flowchart.mmd,ok,0,12500992,render_ms=27.341 font_ms=0.641 raster_ms=1.241 pipeline_ms=29.316 svg_bytes=4461 width=474 height=147,,3
mmdr-text,gantt.mmd,ok,0,9388032,render_ms=13.886 font_ms=0.619 raster_ms=1.875 pipeline_ms=16.471 svg_bytes=4745 width=641 height=154,,3
mmdr-text,gitgraph.mmd,ok,0,7102464,render_ms=13.958 font_ms=0.584 raster_ms=1.196 pipeline_ms=15.842 svg_bytes=3507 width=225 height=163,,3
mmdr-text,invalid-trailing.mmd,ok,0,12259328,render_ms=16.404 font_ms=0.608 raster_ms=0.830 pipeline_ms=17.935 svg_bytes=2529 width=396 height=79,,3
mmdr-text,invalid.mmd,error,2,4820992,,ERROR: unexpected token 'notADiagram' at 1:1; expected unknown or missing Mermaid diagram header,3
